,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeFoul,awayFoul,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homeGoalPrevented,awayGoalPrevented,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
17,11352367,14,2,1,2,0,0,6.97,13,1.0,1.0,6.79,11,1.0,1.0,1.92,0.15,0.59,0.07,72.0,5.0,2.0,5.0,1.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,5.0,7.0,12.0,2.0,6.0,2.0,0.0,1.0,0.0,10.0,1.0,1.0,3.0,0.0,0.0,331.0,132.0,288.0,88.0,26.0,24.0,14.0,7.0,10.0,2.0,4.0,1.0,13.0,7.0,8.0,3.0,71.0,67.0,36.0,25.0,13.0,7.0,8.0,10.0,7.0,9.0,7.0,17.0,44,60,2,3,1,1
18,11352358,5,9,3,1,2,0,7.23,6,3.0,3.0,6.81,9,1.0,1.0,0.15,0.73,0.22,0.73,56.0,0.0,4.0,2.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,8.0,8.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,243.0,187.0,198.0,151.0,26.0,24.0,12.0,12.0,9.0,9.0,0.0,2.0,8.0,6.0,7.0,4.0,63.0,57.0,25.0,20.0,9.0,6.0,3.0,2.0,1.0,7.0,13.0,18.0,43,50,0,0,1,3
19,11352428,3,8,8,0,3,0,7.23,16,0.0,0.0,7.27,2,3.0,3.0,1.0,0.77,0.47,0.31,41.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,7.0,7.0,7.0,2.0,6.0,2.0,1.0,2.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,195.0,286.0,159.0,251.0,22.0,20.0,5.0,12.0,3.0,8.0,2.0,0.0,16.0,11.0,12.0,7.0,65.0,61.0,30.0,27.0,3.0,2.0,11.0,11.0,1.0,7.0,4.0,6.0,3,30,0,1,1,4
20,11352337,8,7,5,5,1,0,6.67,19,0.0,0.0,6.92,15,0.0,0.0,1.81,0.22,1.26,0.17,66.0,4.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,3.0,6.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,297.0,145.0,270.0,104.0,22.0,32.0,14.0,14.0,8.0,11.0,2.0,1.0,12.0,3.0,7.0,3.0,51.0,61.0,24.0,20.0,7.0,7.0,3.0,7.0,2.0,2.0,12.0,5.0,40,48,2,4,0,0
21,11352407,6,12,2,1,0,0,7.24,11,1.0,1.0,7.09,8,3.0,3.0,0.55,1.38,0.54,1.12,57.0,3.0,3.0,3.0,5.0,1.0,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,10.0,10.0,6.0,3.0,0.0,3.0,0.0,3.0,5.0,13.0,3.0,3.0,0.0,0.0,234.0,180.0,203.0,144.0,14.0,22.0,9.0,12.0,7.0,4.0,3.0,3.0,12.0,9.0,5.0,6.0,61.0,54.0,20.0,25.0,1.0,5.0,7.0,11.0,3.0,5.0,9.0,9.0,33,35,0,2,0,0
22,11352389,14,3,3,12,1,1,7.33,6,3.0,3.0,7.37,5,3.0,3.0,0.45,0.07,0.4,0.15,58.0,1.0,0.0,2.0,0.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,10.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,370.0,269.0,332.0,237.0,29.0,24.0,21.0,15.0,4.0,2.0,1.0,1.0,8.0,2.0,7.0,2.0,52.0,50.0,19.0,14.0,2.0,2.0,7.0,3.0,2.0,4.0,6.0,7.0,17,39,1,1,0,0
23,11352399,7,4,7,2,0,2,6.75,14,0.0,0.0,6.77,16,0.0,0.0,0.79,0.02,0.78,0.14,48.0,2.0,1.0,5.0,0.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,3.0,12.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,209.0,227.0,163.0,174.0,26.0,31.0,11.0,9.0,9.0,7.0,4.0,2.0,9.0,8.0,4.0,3.0,71.0,73.0,37.0,24.0,19.0,10.0,8.0,8.0,5.0,9.0,13.0,6.0,14,15,1,2,0,1
24,11352346,3,11,6,0,3,2,7.53,9,3.0,3.0,7.12,8,3.0,3.0,0.2,1.05,0.04,0.53,33.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,8.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0,8.0,1.0,1.0,0.0,0.0,153.0,313.0,121.0,278.0,20.0,27.0,7.0,16.0,6.0,13.0,0.0,2.0,7.0,6.0,4.0,4.0,54.0,64.0,22.0,26.0,6.0,9.0,9.0,6.0,2.0,3.0,13.0,2.0,7,42,0,0,0,1
25,11352475,2,4,6,0,1,0,6.53,18,0.0,0.0,6.94,13,3.0,1.5,0.04,1.89,0.28,0.42,57.0,0.0,4.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,6.0,4.0,2.0,3.0,0.0,4.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,319.0,244.0,291.0,210.0,15.0,26.0,9.0,13.0,5.0,4.0,1.0,2.0,10.0,9.0,6.0,7.0,50.0,48.0,16.0,28.0,2.0,5.0,5.0,10.0,5.0,4.0,5.0,3.0,6,40,0,1,2,3
26,11352437,2,9,2,0,1,0,6.77,15,1.0,0.5,7.21,6,4.0,2.0,0.47,1.34,0.25,1.16,48.0,2.0,5.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,15.0,9.0,4.0,1.0,0.0,3.0,0.0,2.0,5.0,8.0,4.0,2.0,0.0,0.0,195.0,218.0,156.0,195.0,29.0,14.0,13.0,7.0,11.0,7.0,2.0,2.0,13.0,11.0,7.0,10.0,69.0,48.0,23.0,33.0,6.0,5.0,6.0,10.0,2.0,5.0,7.0,15.0,60,33,0,0,1,2
27,11352456,1,0,5,1,0,1,7.01,5,4.0,2.0,7.2,12,3.0,1.5,0.4,0.37,0.41,0.18,61.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,7.0,4.0,4.0,1.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,289.0,187.0,243.0,149.0,30.0,25.0,17.0,7.0,7.0,5.0,2.0,3.0,4.0,13.0,1.0,10.0,66.0,63.0,20.0,26.0,7.0,7.0,7.0,5.0,2.0,5.0,3.0,3.0,50,7,1,1,0,1
28,11352495,6,7,6,1,1,0,6.65,19,0.0,0.0,6.96,18,0.0,0.0,0.78,0.27,0.5,0.23,41.0,2.0,0.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,8.0,13.0,4.0,8.0,3.0,0.0,3.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,202.0,291.0,168.0,253.0,20.0,31.0,8.0,12.0,9.0,8.0,2.0,3.0,6.0,11.0,3.0,3.0,62.0,67.0,26.0,18.0,8.0,3.0,11.0,10.0,6.0,2.0,5.0,7.0,48,3,0,0,0,1
29,11352447,12,2,6,2,0,1,7.09,4,6.0,3.0,6.9,14,3.0,1.5,1.34,0.25,2.28,0.21,71.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,2.0,3.0,6.0,2.0,0.0,2.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,365.0,147.0,321.0,97.0,34.0,27.0,22.0,7.0,11.0,3.0,5.0,0.0,9.0,0.0,7.0,0.0,70.0,63.0,20.0,15.0,5.0,8.0,7.0,5.0,5.0,5.0,6.0,12.0,42,43,0,2,1,2
30,11352484,3,0,0,1,0,0,7.03,15,1.0,0.5,6.63,17,0.0,0.0,0.51,0.09,0.9,0.08,70.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,7.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,371.0,153.0,348.0,116.0,21.0,28.0,14.0,8.0,10.0,8.0,2.0,2.0,8.0,7.0,5.0,6.0,51.0,48.0,19.0,24.0,9.0,2.0,1.0,8.0,5.0,1.0,5.0,12.0,38,72,1,3,0,0
31,11352524,0,8,2,0,2,0,6.73,17,0.0,0.0,7.35,5,6.0,3.0,0.0,1.59,0.02,0.85,16.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,9.0,3.0,0.0,0.0,0.0,82.0,399.0,56.0,369.0,21.0,14.0,10.0,10.0,1.0,22.0,0.0,5.0,9.0,5.0,3.0,2.0,48.0,61.0,11.0,19.0,3.0,5.0,5.0,9.0,3.0,3.0,20.0,2.0,15,17,0,1,0,2
32,11352504,10,1,2,5,0,0,7.0,13,3.0,1.5,6.88,11,3.0,1.5,1.13,0.95,0.86,0.04,69.0,5.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,8.0,6.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,379.0,165.0,337.0,124.0,18.0,27.0,10.0,11.0,13.0,6.0,1.0,0.0,8.0,9.0,4.0,5.0,75.0,67.0,17.0,29.0,2.0,8.0,8.0,10.0,3.0,7.0,8.0,16.0,35,14,1,3,2,2
33,11352466,6,3,6,1,1,0,7.27,3,6.0,3.0,7.0,8,4.0,2.0,0.64,1.41,0.74,0.54,84.0,2.0,2.0,3.0,1.0,4.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,10.0,6.0,2.0,4.0,0.0,2.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,361.0,62.0,326.0,31.0,24.0,17.0,17.0,4.0,17.0,7.0,4.0,0.0,8.0,4.0,4.0,3.0,63.0,49.0,18.0,26.0,5.0,9.0,3.0,8.0,3.0,11.0,7.0,17.0,30,37,0,1,1,3
34,11352543,8,5,6,0,0,1,6.98,9,5.0,1.6666666666666667,6.76,17,1.0,0.3333333333333333,0.63,0.96,0.5,0.24,55.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,8.0,11.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,0.0,0.0,233.0,184.0,193.0,143.0,30.0,32.0,14.0,12.0,6.0,6.0,1.0,0.0,9.0,15.0,1.0,5.0,72.0,74.0,29.0,29.0,9.0,8.0,12.0,13.0,4.0,0.0,8.0,9.0,50,60,1,2,1,2
35,11352570,7,3,4,0,1,0,7.16,10,4.0,1.3333333333333333,6.89,14,3.0,1.0,1.12,0.24,0.81,0.12,69.0,1.0,0.0,3.0,3.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,7.0,8.0,12.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,326.0,146.0,287.0,94.0,18.0,28.0,10.0,12.0,10.0,2.0,1.0,0.0,9.0,5.0,6.0,1.0,69.0,77.0,36.0,23.0,13.0,9.0,11.0,6.0,4.0,8.0,9.0,7.0,38,14,0,0,0,1
36,11352578,9,7,2,2,0,0,7.14,12,4.0,1.3333333333333333,6.98,15,3.0,1.0,0.9,0.72,0.47,0.41,40.0,3.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,4.0,12.0,9.0,4.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,2.0,0.0,0.0,180.0,263.0,142.0,219.0,21.0,23.0,6.0,10.0,8.0,13.0,1.0,2.0,11.0,10.0,4.0,5.0,68.0,74.0,30.0,32.0,6.0,7.0,14.0,15.0,5.0,3.0,13.0,3.0,7,3,0,3,0,2
37,11352597,2,5,3,1,0,1,6.71,17,0.0,0.0,6.77,19,0.0,0.0,0.35,1.48,0.26,0.2,46.0,4.0,3.0,2.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,13.0,18.0,3.0,0.0,0.0,3.0,0.0,2.0,4.0,7.0,2.0,3.0,0.0,0.0,212.0,239.0,161.0,182.0,30.0,29.0,10.0,15.0,6.0,15.0,2.0,3.0,6.0,9.0,4.0,5.0,73.0,85.0,19.0,28.0,5.0,11.0,6.0,9.0,5.0,5.0,23.0,6.0,15,48,2,2,1,2
38,11352594,17,0,3,12,0,0,7.39,2,9.0,3.0,6.86,12,4.0,1.3333333333333333,0.68,1.04,0.19,0.05,60.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,8.0,13.0,7.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,307.0,198.0,263.0,164.0,29.0,25.0,18.0,13.0,6.0,8.0,3.0,1.0,8.0,7.0,6.0,2.0,60.0,57.0,24.0,19.0,4.0,2.0,9.0,7.0,5.0,7.0,6.0,7.0,17,43,2,5,1,1
39,11352584,13,5,2,7,1,2,6.95,5,7.0,2.333333333333333,6.96,8,6.0,2.0,1.04,0.33,0.31,0.2,70.0,2.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,7.0,3.0,3.0,3.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,419.0,175.0,387.0,141.0,20.0,28.0,14.0,15.0,3.0,5.0,1.0,2.0,5.0,7.0,1.0,3.0,52.0,49.0,16.0,13.0,5.0,1.0,6.0,7.0,4.0,4.0,7.0,9.0,44,40,2,3,0,0
40,11352590,0,1,1,0,1,0,6.65,19,0.0,0.0,7.09,2,7.0,2.333333333333333,0.72,0.72,0.39,0.35,33.0,0.0,1.0,7.0,4.0,1.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,9.0,8.0,5.0,6.0,2.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,160.0,344.0,113.0,297.0,35.0,29.0,12.0,15.0,16.0,9.0,5.0,0.0,10.0,8.0,5.0,5.0,75.0,78.0,25.0,24.0,9.0,9.0,7.0,8.0,5.0,4.0,11.0,19.0,72,37,0,1,1,2
41,11352551,7,5,6,1,1,0,7.19,6,6.0,2.0,6.98,14,3.0,1.0,1.11,0.54,0.49,0.38,59.0,4.0,0.0,5.0,3.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,6.0,6.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,4.0,0.0,0.0,292.0,197.0,253.0,160.0,26.0,20.0,13.0,7.0,7.0,6.0,5.0,1.0,9.0,8.0,5.0,8.0,56.0,49.0,23.0,26.0,7.0,3.0,2.0,9.0,3.0,3.0,4.0,8.0,30,39,1,3,0,1
42,11352561,3,13,4,0,1,0,6.61,19,0.0,0.0,7.25,3,7.0,2.333333333333333,0.47,1.06,0.41,0.59,48.0,1.0,6.0,2.0,1.0,1.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,7.0,13.0,7.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,6.0,4.0,0.0,0.0,0.0,231.0,253.0,184.0,211.0,38.0,19.0,15.0,7.0,3.0,5.0,1.0,2.0,15.0,10.0,6.0,4.0,69.0,67.0,28.0,24.0,4.0,2.0,14.0,11.0,4.0,4.0,7.0,5.0,6,33,1,2,2,5
43,11352602,9,7,4,1,0,0,6.89,10,6.0,1.5,7.13,7,7.0,1.75,1.02,0.06,0.6,0.28,66.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,11.0,10.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,310.0,161.0,265.0,118.0,24.0,21.0,15.0,6.0,12.0,4.0,5.0,0.0,9.0,11.0,4.0,6.0,72.0,62.0,23.0,22.0,4.0,0.0,10.0,12.0,4.0,8.0,2.0,15.0,40,7,0,3,0,1
45,11352600,4,10,2,0,0,1,6.75,16,2.0,0.5,7.1,14,4.0,1.0,0.32,0.56,0.5,0.66,33.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,8.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,161.0,346.0,124.0,311.0,23.0,18.0,6.0,14.0,5.0,3.0,3.0,0.0,11.0,12.0,8.0,8.0,56.0,61.0,33.0,26.0,3.0,4.0,10.0,6.0,8.0,3.0,10.0,4.0,60,38,0,0,0,0
61,11352615,6,1,1,4,0,1,6.9,14,3.0,0.75,6.98,10,6.0,1.5,0.6,0.18,0.41,0.36,63.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,3.0,16.0,10.0,4.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,271.0,160.0,227.0,117.0,22.0,29.0,9.0,14.0,12.0,7.0,4.0,2.0,16.0,7.0,10.0,5.0,78.0,68.0,31.0,36.0,7.0,13.0,7.0,15.0,4.0,3.0,7.0,15.0,39,50,0,1,0,0
63,11352626,4,14,2,1,1,0,6.98,15,3.0,0.75,6.98,3,10.0,2.5,0.4,0.6,1.0,0.16,36.0,2.0,2.0,5.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,176.0,330.0,147.0,299.0,20.0,15.0,9.0,12.0,11.0,8.0,6.0,3.0,19.0,10.0,11.0,4.0,54.0,52.0,27.0,21.0,4.0,2.0,11.0,11.0,6.0,4.0,8.0,12.0,3,44,1,1,0,3
